Protein	Genome
14_0919_09_20cm_scaffold_15531_3	14_0919_09_20cm_Bacteria_1660_55_7
14_0903_16_40cm_scaffold_4252_9	14_0903_16_40cm_Bacteria_5729_55_13
14_1009_13_30cm_scaffold_31657_4	14_1009_13_30cm_Bacteria_9112_55_7
14_1009_13_40cm_scaffold_19235_4	14_1009_13_40cm_Rokubacteria_9336_68_7
14_1009_05_20cm_scaffold_378_24	14_1009_05_20cm_Bacteria_3993_59_9
14_1009_13_30cm_scaffold_2683_17	14_1009_13_30cm_Bacteria_9099_55_14
14_0929_09_40cm_scaffold_2590_11	14_0929_09_40cm_Bacteria_7027_56_14
14_0929_05_20cm_scaffold_37930_2	14_0929_05_20cm_Ktedonobacter_racemifer_3036_53_7
14_0903_12_20cm_scaffold_692_41	14_0903_12_20cm_Bacteria_913_55_8
14_0929_09_40cm_scaffold_3152_1	14_0929_09_40cm_Bacteria_7012_55_6
14_0903_13_30cm_scaffold_2082724_21	14_0903_13_30cm_Bacteria_5203_56_6
14_0903_12_30cm_scaffold_6942_5	14_0903_12_30cm_Acidobacteria_1043_61_10
14_0903_02_30cm_scaffold_2426_6	14_0903_02_30cm_Bacteria_171_59_8
14_0903_13_20cm_scaffold_2913_37	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_13_30cm_scaffold_1710511_23	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_09_20cm_scaffold_481_54	14_1009_09_20cm_Bacteria_7728_55_9
14_0927_09_20cm_scaffold_1074_3	14_0927_09_20cm_Bacteria_6036_55_7
14_1009_16_40cm_scaffold_30336_39	14_1009_16_40cm_Bacteria_10360_70_6
14_1009_16_30cm_scaffold_347_124	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0927_09_20cm_scaffold_17658_2	14_0927_09_20cm_Betaproteobacteria_6059_67_8
14_0929_05_40cm_scaffold_61942_5	14_0929_05_40cm_Bacteria_3423_66_6
14_0927_05_40cm_scaffold_1004_2	14_0927_05_40cm_Verrucomicrobia_2334_55_12
14_0929_02_40cm_scaffold_445_5	14_0929_02_40cm_Bacteria_2832_56_9
14_1009_16_40cm_scaffold_8729_11	14_1009_16_40cm_Bacteria_10086_63_7
14_0903_05_20cm_scaffold_562_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0929_05_20cm_scaffold_373_2	14_0929_05_20cm_Bacteria_2982_55_10
14_0903_12_30cm_scaffold_96_128	14_0903_12_30cm_Bacteria_1060_56_9
14_0927_12_20cm_scaffold_820_4	14_0927_12_20cm_Bacteria_6349_56_8
14_0929_05_40cm_scaffold_29089_4	14_0929_05_40cm_Bacteria_3425_55_9
14_1009_13_40cm_scaffold_17592_2	14_1009_13_40cm_Bacteria_9370_55_8
14_1009_05_20cm_scaffold_2856_12	14_1009_05_20cm_Bacteria_4028_55_8
14_1009_12_30cm_scaffold_1839_10	14_1009_12_30cm_Bacteria_8516_55_13
14_1009_16_40cm_scaffold_6562_16	14_1009_16_40cm_Bacteria_10153_70_20
14_0927_12_40cm_scaffold_3667_16	14_0927_12_40cm_Bacteria_6572_56_7
14_0903_16_30cm_scaffold_2073_9	14_0903_16_30cm_Verrucomicrobia_5531_55_9
14_0929_09_20cm_scaffold_53_25	14_0929_09_20cm_Bacteria_6721_56_10
14_0903_13_30cm_scaffold_5326518_7	14_0903_13_30cm_Bacteria_4899_71_7
14_0919_09_20cm_scaffold_577_14	14_0919_09_20cm_Bacteria_1671_55_7
14_0903_12_30cm_scaffold_20011_5	14_0903_12_30cm_Betaproteobacteria_1059_67_7
14_0903_13_30cm_scaffold_293256_6	14_0903_13_30cm_Bacteria_4832_68_9
14_1009_16_20cm_scaffold_25567_8	14_1009_16_20cm_Ktedonobacter_racemifer_9518_53_6
14_1009_13_20cm_scaffold_8800_2	14_1009_13_20cm_Bacteria_8946_55_8
14_1009_09_20cm_scaffold_8245_5	14_1009_09_20cm_Bacteria_7766_55_12
14_1009_13_20cm_scaffold_8800_1	14_1009_13_20cm_Bacteria_8946_55_8
14_0903_13_30cm_scaffold_3627550_29	14_0903_13_30cm_Burkholderiales_4888_66_12
14_0929_02_40cm_scaffold_507_27	14_0929_02_40cm_Bacteria_2798_72_12
14_0903_05_20cm_scaffold_4032_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_05_30cm_scaffold_25898_1	14_1009_05_30cm_Bacteria_4253_54_7
14_1009_16_40cm_scaffold_13311_7	14_1009_16_40cm_Bacteria_10217_55_10
14_1009_16_30cm_scaffold_147367_2	14_1009_16_30cm_Burkholderiales_9712_66_6
14_0903_12_30cm_scaffold_4575_7	14_0903_12_30cm_Acidobacteria_1081_55_6
14_0919_09_20cm_scaffold_482_3	14_0919_09_20cm_Bacteria_1653_55_12
14_0903_13_30cm_scaffold_764725_77	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_16_40cm_scaffold_36747_4	14_1009_16_40cm_Bacteria_10157_53_6
14_0927_05_40cm_scaffold_1004_1	14_0927_05_40cm_Verrucomicrobia_2334_55_12
14_0903_05_40cm_scaffold_20175_2	14_0903_05_40cm_Bacteria_494_55_10
14_1009_13_40cm_scaffold_726_31	14_1009_13_40cm_Bacteria_9307_55_11
14_0929_09_30cm_scaffold_6014_4	14_0929_09_30cm_Bacteria_6841_55_9
14_0903_16_40cm_scaffold_34599_3	14_0903_16_40cm_Bacteria_5672_60_9
14_1009_13_20cm_scaffold_1308_3	14_1009_13_20cm_Bacteria_8964_55_8
14_0929_05_20cm_scaffold_959_12	14_0929_05_20cm_Bacteria_2986_55_7
14_1009_13_20cm_scaffold_54398_3	14_1009_13_20cm_Bacteria_8955_54_8
14_1009_12_40cm_scaffold_5693_38	14_1009_12_40cm_Bacteria_8731_55_7
14_0903_12_20cm_scaffold_8858_5	14_0903_12_20cm_Bacteria_908_55_11
14_1009_16_40cm_scaffold_9076_9	14_1009_16_40cm_Bacteria_10145_71_8
14_1009_16_30cm_scaffold_12971_3	14_1009_16_30cm_Bacteria_9687_70_5
14_0903_13_30cm_scaffold_2192662_29	14_0903_13_30cm_Bacteria_4832_68_9
14_0929_12_40cm_scaffold_846_39	14_0929_12_40cm_Betaproteobacteria_7526_65_14
14_0919_02_20cm_scaffold_72_71	14_0919_02_20cm_Betaproteobacteria_5881_65_14
14_0929_02_20cm_scaffold_471_44	14_0929_02_20cm_Betaproteobacteria_2465_65_10
14_1009_16_40cm_scaffold_6562_11	14_1009_16_40cm_Bacteria_10153_70_20
14_0929_09_40cm_scaffold_12074_12	14_0929_09_40cm_Bacteria_7012_55_6
14_1009_16_30cm_scaffold_12971_8	14_1009_16_30cm_Bacteria_9687_70_5
14_0903_12_30cm_scaffold_1966_12	14_0903_12_30cm_Betaproteobacteria_1076_65_10
14_0919_12_20cm_scaffold_82952_3	14_0919_12_20cm_Bacteria_1773_55_7
14_1009_16_40cm_scaffold_91806_1	14_1009_16_40cm_Bacteria_10195_66_6
14_0903_13_30cm_scaffold_293256_1	14_0903_13_30cm_Bacteria_4832_68_9
14_0903_16_30cm_scaffold_1183_15	14_0903_16_30cm_Rokubacteria_5524_69_12
14_0927_02_40cm_scaffold_18536_3	14_0927_02_40cm_Betaproteobacteria_2090_64_10
14_1009_16_40cm_scaffold_6562_17	14_1009_16_40cm_Bacteria_10153_70_20
14_0903_12_30cm_scaffold_11105_8	14_0903_12_30cm_Bacteria_1047_68_7
14_1009_16_30cm_scaffold_12971_9	14_1009_16_30cm_Bacteria_9687_70_5
14_1009_16_40cm_scaffold_9076_3	14_1009_16_40cm_Bacteria_10145_71_8
14_0903_02_30cm_scaffold_10403_5	14_0903_02_30cm_Bacteria_250_54_7
14_1009_16_30cm_scaffold_6496_10	14_1009_16_30cm_Bacteria_9612_66_46
14_0903_05_40cm_scaffold_371_20	14_0903_05_40cm_Rokubacteria_474_69_10
14_0929_05_30cm_scaffold_146_42	14_0929_05_30cm_Rokubacteria_3184_69_12
14_1009_13_30cm_scaffold_61_103	14_1009_13_30cm_Bacteria_9093_69_12
14_1009_16_40cm_scaffold_78207_4	14_1009_16_40cm_Betaproteobacteria_10094_64_30
14_1009_13_40cm_scaffold_17592_3	14_1009_13_40cm_Bacteria_9370_55_8
14_0929_05_40cm_scaffold_8670_7	14_0929_05_40cm_Betaproteobacteria_3492_64_9
14_0903_05_40cm_scaffold_6421_14	14_0903_05_40cm_Betaproteobacteria_516_64_10
14_1009_13_40cm_scaffold_9988_6	14_1009_13_40cm_Bacteria_9335_55_11
14_0903_09_20cm_scaffold_0_75	14_0903_09_20cm_Proteobacteria_630_68_11
14_0903_13_30cm_scaffold_1137608_9	14_0903_13_30cm_Bacteria_4966_70_7
14_0929_05_20cm_scaffold_37930_3	14_0929_05_20cm_Ktedonobacter_racemifer_3036_53_7
14_1009_13_20cm_scaffold_7861_1	14_1009_13_20cm_Rokubacteria_8968_70_11
14_1009_09_20cm_scaffold_481_53	14_1009_09_20cm_Bacteria_7728_55_9
14_1009_09_40cm_scaffold_529_18	14_1009_09_40cm_Bacteria_8194_68_8
14_0903_05_20cm_scaffold_448_6	14_0903_05_20cm_Chloroflexi_387_50_7
14_0927_12_20cm_scaffold_34110_5	14_0927_12_20cm_Bacteria_6362_55_16
14_0903_12_30cm_scaffold_11105_5	14_0903_12_30cm_Bacteria_1047_68_7
14_0903_13_30cm_scaffold_5326518_4	14_0903_13_30cm_Bacteria_4899_71_7
14_1009_16_40cm_scaffold_5958_18	14_1009_16_40cm_Bacteria_10260_68_6
14_0903_05_30cm_scaffold_31805_1	14_0903_05_30cm_Bacteria_4617_55_7
14_1009_16_30cm_scaffold_64444_7	14_1009_16_30cm_Rokubacteria_9640_69_15
14_0903_05_20cm_scaffold_490_36	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_40cm_scaffold_13311_9	14_1009_16_40cm_Bacteria_10217_55_10
14_1009_16_40cm_scaffold_9076_4	14_1009_16_40cm_Bacteria_10145_71_8
14_0919_02_20cm_scaffold_1153_27	14_0919_02_20cm_Bacteria_5904_68_7
14_0929_05_40cm_scaffold_2253_19	14_0929_05_40cm_Bacteria_3448_68_17
14_0927_12_20cm_scaffold_2310_15	14_0927_12_20cm_Rokubacteria_6348_71_8
14_1009_16_40cm_scaffold_93651_2	14_1009_16_40cm_Rokubacteria_10140_71_15
14_1009_12_20cm_scaffold_57453_4	14_1009_12_20cm_Acidobacteria_8403_56_5
14_1009_16_40cm_scaffold_109_42	14_1009_16_40cm_Bacteria_10175_68_8
14_0903_05_30cm_scaffold_456_24	14_0903_05_30cm_Rokubacteria_4563_69_8
14_0919_02_20cm_scaffold_121_12	14_0919_02_20cm_Rokubacteria_5917_70_9
14_0927_12_40cm_scaffold_12036_11	14_0927_12_40cm_Bacteria_6525_71_6
14_1009_13_40cm_scaffold_176_80	14_1009_13_40cm_Rokubacteria_9336_68_7
14_0929_02_40cm_scaffold_82_13	14_0929_02_40cm_Rokubacteria_2797_69_23
14_0903_13_30cm_scaffold_764725_63	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_16_30cm_scaffold_3468_7	14_0903_16_30cm_Rokubacteria_5554_70_10
14_0903_12_30cm_scaffold_665_9	14_0903_12_30cm_Bacteria_1056_68_10
14_0929_02_30cm_scaffold_64_48	14_0929_02_30cm_Bacteria_2615_69_23
14_1009_13_20cm_scaffold_18823_12	14_1009_13_20cm_Bacteria_8969_68_5
14_0903_12_30cm_scaffold_4575_6	14_0903_12_30cm_Acidobacteria_1081_55_6
14_1009_16_40cm_scaffold_292_129	14_1009_16_40cm_Bacteria_10176_71_10
14_1009_16_40cm_scaffold_86926_3	14_1009_16_40cm_Burkholderiales_10114_69_7
14_0903_13_30cm_scaffold_1578694_19	14_0903_13_30cm_Bacteria_4803_58_14
14_0903_16_30cm_scaffold_3468_10	14_0903_16_30cm_Rokubacteria_5554_70_10
14_1009_16_40cm_scaffold_24_29	14_1009_16_40cm_Bacteria_10076_68_15
14_0919_02_20cm_scaffold_577_27	14_0919_02_20cm_Rokubacteria_5893_69_7
14_0903_12_30cm_scaffold_665_6	14_0903_12_30cm_Bacteria_1056_68_10
14_0929_05_40cm_scaffold_2253_22	14_0929_05_40cm_Bacteria_3448_68_17
14_1009_16_40cm_scaffold_376_63	14_1009_16_40cm_Bacteria_10077_69_12
14_0929_02_30cm_scaffold_64_45	14_0929_02_30cm_Bacteria_2615_69_23
14_1009_16_40cm_scaffold_58805_1	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0903_13_30cm_scaffold_2321172_1	14_0903_13_30cm_Bacteria_4966_70_7
14_1009_16_40cm_scaffold_109_39	14_1009_16_40cm_Bacteria_10175_68_8
14_0927_12_20cm_scaffold_2310_12	14_0927_12_20cm_Rokubacteria_6348_71_8
14_0919_02_20cm_scaffold_577_30	14_0919_02_20cm_Rokubacteria_5893_69_7
14_1009_16_20cm_scaffold_3769_19	14_1009_16_20cm_Rokubacteria_9470_69_6
14_0903_12_30cm_scaffold_1009_13	14_0903_12_30cm_Bacteria_1120_68_12
14_1009_16_40cm_scaffold_93651_5	14_1009_16_40cm_Rokubacteria_10140_71_15
14_1009_16_40cm_scaffold_5958_15	14_1009_16_40cm_Bacteria_10260_68_6
14_1009_02_30cm_scaffold_11850_1	14_1009_02_30cm_Bacteria_3696_55_11
14_0919_02_20cm_scaffold_1153_24	14_0919_02_20cm_Bacteria_5904_68_7
14_1009_13_40cm_scaffold_176_83	14_1009_13_40cm_Rokubacteria_9336_68_7
14_1009_16_30cm_scaffold_60950_7	14_1009_16_30cm_Bacteria_9914_55_12
14_0903_16_30cm_scaffold_1183_12	14_0903_16_30cm_Rokubacteria_5524_69_12
14_0927_05_40cm_scaffold_14989_4	14_0927_05_40cm_Rokubacteria_2323_69_8
14_0929_09_30cm_scaffold_5600_6	14_0929_09_30cm_Bacteria_6869_55_12
14_0903_13_30cm_scaffold_2192662_28	14_0903_13_30cm_Bacteria_4832_68_9
14_1009_16_40cm_scaffold_13311_6	14_1009_16_40cm_Bacteria_10217_55_10
14_1009_16_40cm_scaffold_24_26	14_1009_16_40cm_Bacteria_10076_68_15
14_0903_02_30cm_scaffold_345_91	14_0903_02_30cm_Rickettsiella_grylli_159_36_9
14_1009_13_40cm_scaffold_9988_7	14_1009_13_40cm_Bacteria_9335_55_11
14_1009_16_40cm_scaffold_13311_10	14_1009_16_40cm_Bacteria_10217_55_10
14_1009_13_20cm_scaffold_18823_9	14_1009_13_20cm_Bacteria_8969_68_5
14_1009_13_30cm_scaffold_61_106	14_1009_13_30cm_Bacteria_9093_69_12
14_0929_05_30cm_scaffold_146_39	14_0929_05_30cm_Rokubacteria_3184_69_12
14_1009_16_30cm_scaffold_171_34	14_1009_16_30cm_Bacteria_9603_66_16
14_0927_12_40cm_scaffold_3221_41	14_0927_12_40cm_Bacteria_6509_66_7
14_0903_12_40cm_200_scaffold_106_32	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_05_40cm_scaffold_371_17	14_0903_05_40cm_Rokubacteria_474_69_10
14_1009_16_40cm_scaffold_41539_13	14_1009_16_40cm_Verrucomicrobia_10135_59_6
14_1009_16_40cm_scaffold_292_132	14_1009_16_40cm_Bacteria_10176_71_10
14_1009_16_40cm_scaffold_292_132	14_1009_16_40cm_Bacteria_10176_71_10
14_0903_09_40cm_scaffold_1196_16	14_0903_09_40cm_Bacteria_746_68_10
14_0903_09_40cm_scaffold_1196_19	14_0903_09_40cm_Bacteria_746_68_10
14_0929_05_40cm_scaffold_14881_10	14_0929_05_40cm_Bacteria_3435_70_7
14_1009_12_40cm_scaffold_38881_22	14_1009_12_40cm_Xanthomonadales_8686_62_5
14_1009_16_30cm_scaffold_54_118	14_1009_16_30cm_Bacteria_9624_68_15
14_1009_16_40cm_scaffold_376_60	14_1009_16_40cm_Bacteria_10077_69_12
14_0903_12_30cm_scaffold_1009_16	14_0903_12_30cm_Bacteria_1120_68_12
14_0927_09_20cm_scaffold_5452_5	14_0927_09_20cm_Betaproteobacteria_6059_67_8
14_0903_12_30cm_scaffold_1820_8	14_0903_12_30cm_Betaproteobacteria_1059_67_7
14_1009_16_40cm_scaffold_20_128	14_1009_16_40cm_Bacteria_10100_69_10
14_0903_09_20cm_scaffold_333_11	14_0903_09_20cm_Bacteria_627_57_7
14_0903_12_30cm_scaffold_1844_3	14_0903_12_30cm_Bacteria_1044_57_11
14_0929_12_40cm_scaffold_40760_3	14_0929_12_40cm_Proteobacteria_7534_69_6
14_1009_16_40cm_scaffold_99056_12	14_1009_16_40cm_Bacteria_10157_53_6
14_1009_13_40cm_scaffold_19235_9	14_1009_13_40cm_Rokubacteria_9336_68_7
14_1009_12_20cm_scaffold_133_17	14_1009_12_20cm_Proteobacteria_8340_68_17
14_0927_12_20cm_scaffold_3057_13	14_0927_12_20cm_Verrucomicrobia_10548_59_7
14_0903_12_40cm_200_scaffold_155_24	14_0903_12_40cm_Bacteria_10609_55_11
14_0927_09_40cm_scaffold_2597_21	14_0927_09_40cm_Verrucomicrobia_6186_55_17
14_1009_13_40cm_scaffold_48680_3	14_1009_13_40cm_Proteobacteria_9304_69_11
14_1009_16_30cm_scaffold_64444_10	14_1009_16_30cm_Rokubacteria_9640_69_15
14_0919_02_20cm_scaffold_26_39	14_0919_02_20cm_Betaproteobacteria_5881_65_14
14_0929_02_20cm_scaffold_4456_12	14_0929_02_20cm_Betaproteobacteria_2465_65_10
14_0903_02_20cm_scaffold_38_24	14_0903_02_20cm_Proteobacteria_56_68_14
14_1009_16_40cm_scaffold_86926_7	14_1009_16_40cm_Burkholderiales_10114_69_7
14_1009_13_20cm_scaffold_681_24	14_1009_13_20cm_Proteobacteria_8922_67_8
14_0903_16_20cm_scaffold_628_8	14_0903_16_20cm_Proteobacteria_5401_68_9
14_0929_05_30cm_scaffold_25152_3	14_0929_05_30cm_Proteobacteria_3188_68_7
14_0927_12_40cm_scaffold_17592_8	14_0927_12_40cm_Proteobacteria_6516_68_7
14_0903_09_40cm_scaffold_26445_3	14_0903_09_40cm_Proteobacteria_757_70_20
14_1009_16_30cm_scaffold_22923_13	14_1009_16_30cm_Proteobacteria_9607_69_18
14_0929_09_30cm_scaffold_1287_18	14_0929_09_30cm_Proteobacteria_6836_67_22
14_0903_12_30cm_scaffold_1117_16	14_0903_12_30cm_Proteobacteria_1046_69_21
14_1009_13_30cm_scaffold_3680_5	14_1009_13_30cm_Proteobacteria_9082_68_9
14_0903_16_40cm_scaffold_11069_5	14_0903_16_40cm_Proteobacteria_5707_69_7
14_0929_02_30cm_scaffold_5195_24	14_0929_02_30cm_Proteobacteria_2624_68_6
14_1009_16_30cm_scaffold_359_95	14_1009_16_30cm_Actinobacteria_9682_72_9
14_1009_05_20cm_scaffold_24508_1	14_1009_05_20cm_Bacteria_4049_55_11
14_1009_16_40cm_scaffold_78812_1	14_1009_16_40cm_Bacteria_10151_57_6
14_0903_09_20cm_scaffold_22_16	14_0903_09_20cm_Proteobacteria_630_68_11
14_1009_12_40cm_scaffold_16214_4	14_1009_12_40cm_Proteobacteria_8680_68_6
14_0903_12_20cm_scaffold_1922_3	14_0903_12_20cm_Proteobacteria_893_68_25
14_0903_09_30cm_scaffold_618_21	14_0903_09_30cm_Proteobacteria_684_68_8
14_1009_16_40cm_scaffold_314_46	14_1009_16_40cm_Bacteria_10077_69_12
14_1009_16_30cm_scaffold_54_121	14_1009_16_30cm_Bacteria_9624_68_15
14_0903_12_20cm_scaffold_6145_1	14_0903_12_20cm_Bacteria_889_69_22
14_0903_02_30cm_scaffold_17537_4	14_0903_02_30cm_Betaproteobacteria_208_64_9
14_0919_02_20cm_scaffold_121_15	14_0919_02_20cm_Rokubacteria_5917_70_9
14_0929_02_40cm_scaffold_82_16	14_0929_02_40cm_Rokubacteria_2797_69_23
14_0903_16_40cm_scaffold_592_8	14_0903_16_40cm_Bacteria_5660_68_9
14_1009_13_40cm_scaffold_17592_1	14_1009_13_40cm_Bacteria_9370_55_8
14_0903_05_30cm_scaffold_456_27	14_0903_05_30cm_Rokubacteria_4563_69_8
14_0929_09_40cm_scaffold_1816_6	14_0929_09_40cm_Bacteria_7016_55_11
14_0929_12_20cm_scaffold_23040_3	14_0929_12_20cm_Proteobacteria_7190_65_6
14_1009_16_40cm_scaffold_20_131	14_1009_16_40cm_Bacteria_10100_69_10
14_0903_13_30cm_scaffold_5326518_8	14_0903_13_30cm_Bacteria_4899_71_7
14_0903_16_20cm_scaffold_11006_10	14_0903_16_20cm_Conexibacter_woesei_5407_74_7
14_0903_02_30cm_scaffold_8107_4	14_0903_02_30cm_Betaproteobacteria_208_64_9
14_0927_02_40cm_scaffold_15608_4	14_0927_02_40cm_Betaproteobacteria_2090_64_10
14_1009_16_40cm_scaffold_9844_2	14_1009_16_40cm_Bacteria_10360_70_6
14_0903_02_20cm_scaffold_289_24	14_0903_02_20cm_Proteobacteria_54_67_14
14_0929_02_20cm_scaffold_47003_4	14_0929_02_20cm_Betaproteobacteria_2465_65_10
14_0903_16_40cm_scaffold_592_23	14_0903_16_40cm_Bacteria_5660_68_9
14_0927_12_20cm_scaffold_61902_4	14_0927_12_20cm_Proteobacteria_6345_65_7
14_0903_13_30cm_scaffold_772405_7	14_0903_13_30cm_Bacteria_4832_68_9
14_1009_02_20cm_scaffold_7416_3	14_1009_02_20cm_Proteobacteria_3629_68_7
14_0929_12_20cm_scaffold_66_24	14_0929_12_20cm_Proteobacteria_7163_67_18
14_1009_12_30cm_scaffold_2771_14	14_1009_12_30cm_Proteobacteria_8501_67_8
14_0929_12_30cm_scaffold_13175_5	14_0929_12_30cm_Proteobacteria_7433_68_7
14_0919_02_20cm_scaffold_72_77	14_0919_02_20cm_Betaproteobacteria_5881_65_14
14_0903_09_40cm_scaffold_2730_3	14_0903_09_40cm_Proteobacteria_761_67_12
14_1009_09_30cm_scaffold_9062_8	14_1009_09_30cm_Betaproteobacteria_7996_64_8
14_0903_12_30cm_scaffold_4575_2	14_0903_12_30cm_Acidobacteria_1081_55_6
14_0903_13_30cm_scaffold_5326518_3	14_0903_13_30cm_Bacteria_4899_71_7
14_1009_12_20cm_scaffold_5017_6	14_1009_12_20cm_Bacteria_8391_55_8
14_0903_16_20cm_scaffold_72_31	14_0903_16_20cm_Proteobacteria_5405_67_12
14_0927_05_20cm_scaffold_1084_17	14_0927_05_20cm_Proteobacteria_2236_67_15
14_0929_12_40cm_scaffold_2750_14	14_0929_12_40cm_Betaproteobacteria_7558_64_8
14_1009_16_40cm_scaffold_77367_1	14_1009_16_40cm_Betaproteobacteria_10094_64_30
14_0903_16_30cm_scaffold_2313_34	14_0903_16_30cm_Rokubacteria_5554_70_10
14_1009_13_20cm_scaffold_10687_3	14_1009_13_20cm_Rokubacteria_8968_70_11
14_0929_05_40cm_scaffold_108_52	14_0929_05_40cm_Bacteria_3448_68_17
14_0919_02_20cm_scaffold_523_23	14_0919_02_20cm_Proteobacteria_5895_67_15
14_1009_16_40cm_scaffold_39793_8	14_1009_16_40cm_Bacteria_10516_69_7
14_1009_16_40cm_scaffold_2112_22	14_1009_16_40cm_Actinobacteria_10078_73_12
14_0903_05_40cm_scaffold_20769_2	14_0903_05_40cm_Betaproteobacteria_516_64_10
14_0929_05_40cm_scaffold_49197_3	14_0929_05_40cm_Betaproteobacteria_3492_64_9
14_0919_02_20cm_scaffold_2541_9	14_0919_02_20cm_Bacteria_5904_68_7
14_1009_16_30cm_scaffold_2075_36	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_05_40cm_scaffold_6421_20	14_0903_05_40cm_Betaproteobacteria_516_64_10
14_0929_05_40cm_scaffold_8670_14	14_0929_05_40cm_Betaproteobacteria_3492_64_9
14_1009_16_30cm_scaffold_74652_14	14_1009_16_30cm_Bacteria_9687_70_5
14_1009_16_40cm_scaffold_11850_5	14_1009_16_40cm_Bacteria_10175_68_8
14_1009_13_20cm_scaffold_3818_1	14_1009_13_20cm_Bacteria_8947_65_7
14_1009_16_40cm_scaffold_364_18	14_1009_16_40cm_Bacteria_10175_68_8
14_1009_05_30cm_scaffold_7330_16	14_1009_05_30cm_Bacteria_4249_66_12
14_1009_12_20cm_scaffold_1627_12	14_1009_12_20cm_Bacteria_8347_66_8
14_1009_16_40cm_scaffold_2424_49	14_1009_16_40cm_Bacteria_10145_71_8
14_0903_13_30cm_scaffold_703804_1	14_0903_13_30cm_RBG_16_RIF_WS3X_71_46_curated_4845_70_10
14_0927_09_20cm_scaffold_6465_10	14_0927_09_20cm_Bacteria_6025_66_9
14_0919_02_20cm_scaffold_1010_7	14_0919_02_20cm_Rokubacteria_5893_69_7
14_1009_09_40cm_scaffold_341_19	14_1009_09_40cm_Bacteria_8194_68_8
14_1009_16_20cm_scaffold_7811_7	14_1009_16_20cm_Rokubacteria_9470_69_6
14_1009_16_40cm_scaffold_5956_28	14_1009_16_40cm_RBG_16_RIF_WS3X_71_46_curated_10208_69_7
14_0903_13_30cm_scaffold_11101917_3	14_0903_13_30cm_RBG_16_RIF_WS3X_71_46_curated_5059_69_5
14_1009_16_30cm_scaffold_196_70	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0929_05_30cm_scaffold_6744_6	14_0929_05_30cm_Bacteria_3252_59_8
14_0929_12_40cm_scaffold_71895_3	14_0929_12_40cm_Betaproteobacteria_7558_64_8
14_1009_16_20cm_scaffold_179_39	14_1009_16_20cm_Bacteria_9487_66_12
14_0929_09_30cm_scaffold_316_54	14_0929_09_30cm_Bacteria_6832_65_9
14_1009_09_20cm_scaffold_683_11	14_1009_09_20cm_Bacteria_7734_68_7
14_0903_12_40cm_200_scaffold_7_50	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_02_30cm_scaffold_40_35	14_0903_02_30cm_Bacteria_162_64_22
14_1009_16_40cm_scaffold_938_51	14_1009_16_40cm_Bacteria_10145_71_8
14_0929_09_20cm_scaffold_0_91	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_148_4	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_30cm_scaffold_6771_1	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0929_09_20cm_scaffold_44_4	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_20cm_scaffold_31_39	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_16_40cm_scaffold_6380_12	14_1009_16_40cm_RBG_16_RIF_WS3X_71_46_curated_10208_69_7
14_0903_12_40cm_200_scaffold_7_38	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_09_20cm_scaffold_7_52	14_0929_09_20cm_Bacteria_6715_55_10
14_0919_09_20cm_scaffold_81_62	14_0919_09_20cm_Bacteria_1670_60_14
14_0903_09_20cm_scaffold_148_3	14_0903_09_20cm_Bacteria_634_55_9
14_0903_12_40cm_200_scaffold_699_22	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_40cm_200_scaffold_33_15	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_40cm_200_scaffold_1313_10	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_09_20cm_scaffold_18_42	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_20cm_scaffold_8_205	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_12_40cm_200_scaffold_7_37	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_09_30cm_scaffold_1833_1	14_0903_09_30cm_Bacteria_688_55_7
14_0903_09_20cm_scaffold_217_3	14_0903_09_20cm_Bacteria_634_55_9
14_0903_12_40cm_200_scaffold_726_2	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_09_20cm_scaffold_509_2	14_0903_09_20cm_Bacteria_634_55_9
14_0903_12_40cm_200_scaffold_147_20	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_40cm_200_scaffold_7_48	14_0903_12_40cm_Bacteria_10609_55_11
